id,current_name,detected_language,name_en,name_bn,current_slug,bmdc_number,needs_review
097ae5f3-0705-43eb-b590-9e155252b76c,ডাঃ জেসমিন আরা,bn,Jesmin Ara,জেসমিন আরা,ড-জসমন-আর,,
35882b81-572f-4cb7-b9b2-9b6728a3efe5,ডা. জেসমিন নাহার (রুনি),bn,Jesmin Nahar (Runi),জেসমিন নাহার (রুনি),ড-জসমন-নহর-রন,,
fcf427cc-3217-4be4-8ac2-1ce6f9e3cf83,ডা: টাইয়েব ইবনে জাহাঙ্গীর,bn,Taiyeb Ibn Jahangir,টাইয়েব ইবনে জাহাঙ্গীর,ড-টইয়ব-ইবন-জহঙগর,,
5e081f24-4193-4f9d-9771-49b14b4c0160,ডা: তরফদার রুণা লায়লা,bn,Tarafder Runa Laila,তরফদার রুণা লায়লা,ড-তরফদর-রণ-লযল,,
168db610-effe-4fbc-b857-d5bbc9c1a5c8,ডা: তরফদার রুনা লায়লা,bn,Tarafder Runa Laila,তরফদার রুনা লায়লা,ড-তরফদর-রন-লযল,,
9b0d256e-f606-4bbc-9a0a-3e0a07e5822f,ডা: তানজিনা আফরিন,bn,Tanjina Afrin,তানজিনা আফরিন,ড-তনজন-আফরন,,
7160487d-b1a8-417c-beee-e823910bd58f,ডা: তানজিলা ইসলাম,bn,Tanjila Islam,তানজিলা ইসলাম,ড-তনজল-ইসলম,,
a8c9e732-995e-4394-a2b9-b079c2cd4905,ডা: তানিয়া আক্তার,bn,Tania Akter,তানিয়া আক্তার,ড-তনয়-আকতর,,
13d00741-71c5-42b6-a233-ecd7747abc4d,ডা. তাপস সরকার,bn,Tapas Sarker,তাপস সরকার,ড-তপস-সরকর,,
4a78a3a0-89d7-4f48-afaf-275042b35725,ডা: তারেক মোহাম্মদ,bn,Tarek Mohammad,তারেক মোহাম্মদ,ড-তরক-মহমমদ,,
4ba42829-6dd9-49fb-8601-e0dc0007c83f,ডাঃ তারেক মোহাম্মদ,bn,Tarek Mohammad,তারেক মোহাম্মদ,ড-তরক-মহমমদ-eccbf0,,
2f86ec1e-2372-4aea-b695-c541dc03f7e1,ডাঃ তাসমিনা চৌধুরী (তুলি),bn,Tasmina Chowdhury (Tuli),তাসমিনা চৌধুরী (তুলি),ড-তসমন-চধর-তল,,
af94548f-bb0a-4265-a12c-fca9b8274ef9,ডা: তাহমিনা আক্তার,bn,Tahmina Akter,তাহমিনা আক্তার,ড-তহমন-আকতর,,
bdeaab1b-73c3-4bfd-bc13-bf5b409c5e52,ডা. তুষার শিকদার,bn,Tushar Shikder,তুষার শিকদার,ড-তষর-শকদর,,
60d3bcba-3cbc-4280-bca3-963f0d535d41,ডা. তৈয়বা সুলতানা,bn,Taiyeba Sultana,তৈয়বা সুলতানা,ড-তযব-সলতন,,
057253fb-a37a-448b-be22-7cd99a978b60,ডা: নওশীন তাবাসসুম,bn,Nowshin Tabassum,নওশীন তাবাসসুম,ড-নওশন-তবসসম,,
4fdc4c90-d81c-4f87-8d3c-15bb83e253a0,ডাঃ নওসাবাহ নূর,bn,Nawsabah Nur,নওসাবাহ নূর,ড-নওসবহ-নর,,
fb43fbe7-0f30-43a1-81ef-7f7b59ef39ec,ডাঃ নজীব মহিউদ্দিন,bn,Nazib Mohiuddin,নজীব মহিউদ্দিন,ড-নজব-মহউদদন,,
30f3a495-5fc6-47b3-9b49-7874fa02b3a6,ডা: নাঈমা ফেরদৌসি,bn,Nayeema Ferdousi,নাঈমা ফেরদৌসি,ড-নঈম-ফরদস,অ-৩৬২৯৯,
1d39c00e-f7bc-4ce5-aa95-40de24fc65c6,ডাঃ নাঈমা ফেরদৌসী,bn,Nayeema Ferdousi,নাঈমা ফেরদৌসী,ড-নঈম-ফরদস-76f640,,
b8595d7a-87ea-430d-b9fb-e92406a3948a,ডা: নাজমুল হক মুন্না,bn,Nazmul Haque Munna,নাজমুল হক মুন্না,ড-নজমল-হক-মনন,,
dea45eba-bee0-4a74-9ec1-c99d812bc3ea,ডা: নাজিয়া সুলতানা ডেইজী,bn,Nazia Sultana Daisy,নাজিয়া সুলতানা ডেইজী,ড-নজয়-সলতন-ডইজ,,
abb762fa-c1f5-47f8-add9-b379c1b482df,ডা: নাবিদ ফারহান,bn,Nabid Farhan,নাবিদ ফারহান,ড-নবদ-ফরহন,,
3319471c-e4a1-45ea-b300-8f64917a2d41,ডা: নাসরিন সুলতানা,bn,Nasreen Sultana,নাসরিন সুলতানা,ড-নসরন-সলতন,,
d8e4592e-ca18-477e-8e17-682c350c7760,ডা: নাসরীন সুলতানা রুমি,bn,Nasreen Sultana Rumi,নাসরীন সুলতানা রুমি,ড-নসরন-সলতন-রম,,
14178b7b-f999-4c50-8852-03ad017f7dda,ডা: নাহিদা ইসলাম,bn,Nahida Islam,নাহিদা ইসলাম,ড-নহদ-ইসলম,,
3840df27-0fcb-4168-bdba-2e1d13b952c6,ডা. নাহিদা নাজনীন,bn,Nahida Nazneen,নাহিদা নাজনীন,ড-নহদ-নজনন-7d076d,,
48798e78-d754-4b16-852a-572574c08fe7,ডা: নাহিদা নাজনীন,bn,Nahida Nazneen,নাহিদা নাজনীন,ড-নহদ-নজনন,,
5d57ff2b-8911-4b8d-9449-e60edda591ec,ডাঃ নাহিদা নাজনীন,bn,Nahida Nazneen,নাহিদা নাজনীন,ড-নহদ-নজনন-455418,,
e71f6b03-68c6-4c40-afd5-81bcba695ded,ডা: নিঘাত সুলতানা অনিয়া,bn,Nighat Sultana Ania,নিঘাত সুলতানা অনিয়া,ড-নঘত-সলতন-অনয়,,
fef7c920-b933-445f-ba3d-4a6fa39af1a1,ডা: নুসরাত শামস্,bn,Nusrat Shams,নুসরাত শামস্,ড-নসরত-শমস,,
c57bea87-21aa-42d8-ae73-5708d3f418d8,ডা. নুসরাত শারমীন,bn,Nusrat Sharmin,নুসরাত শারমীন,ড-নসরত-শরমন,,
3ed8168e-5937-48dd-a6b4-0d3de37ac170,ডা. নূর শাকিরা বিনতে মাহবুব,bn,Nur Shakira Binte Mahbub,নূর শাকিরা বিনতে মাহবুব,ড-নর-শকর-বনত-মহবব,,
dc3d77e5-85dc-4052-bd8a-c38d43f02754,ডা: নৃপেন কুমার কুন্ডু,bn,Nripen Kumar Kundu,নৃপেন কুমার কুন্ডু,ড-নপন-কমর-কনড,,
1a32a312-6e80-4dd3-a938-4759c3626e89,ডাঃ প্রভাস চন্দ্র সাহা,bn,Pravas Chandra Saha,প্রভাস চন্দ্র সাহা,ড-পরভস-চনদর-সহ,,
523dc952-6157-4699-8fed-1f1f96dde843,ডা: প্রশান্ত কুমার চক্রবর্তী,bn,Prashanta Kumar Chakraborty,প্রশান্ত কুমার চক্রবর্তী,ড-পরশনত-কমর-চকরবরত,,
1cda5006-9fc0-4d4c-a4bb-a84bb6a7d6cf,ডা. প্রশান্ত বারিকদার,bn,Prashanta Barikdar,প্রশান্ত বারিকদার,ড-পরশনত-বরকদর,,
dd354ecf-a240-4d64-9729-e87652cbfbaf,ডা. ফজলে রাব্বী চৌধুরী,bn,Fazle Rabbi Chowdhury,ফজলে রাব্বী চৌধুরী,ড-ফজল-রবব-চধর,,
0d13b8a7-b295-48bf-94d4-e72a8a2f065c,ডা. ফয়সাল আহমেদ,bn,Faisal Ahmed,ফয়সাল আহমেদ,ড-ফযসল-আহমদ,,
6ddf4de6-e880-4f33-bbe6-3661f8bf9dc8,ডা. ফরহাদ হোসেন মোং শাহেদ,bn,Farhad Hossain Md. Shahed,ফরহাদ হোসেন মোং শাহেদ,ড-ফরহদ-হসন-ম-শহদ,,
049fb06a-67cc-4714-b103-802af215c759,ডা: ফরিদা খাতুন ছবি,bn,Farida Khatun Chhabi,ফরিদা খাতুন ছবি,ড-ফরদ-খতন-ছব,,
07a169ae-0053-43e0-9cbc-5a7d04a9e584,ডা: ফাইম চৌধুরী (সনি),bn,Fahim Chowdhury (Sony),ফাইম চৌধুরী (সনি),ড-ফইম-চধর-সন-0fe51c,,
f5986cd5-3430-4dac-924f-34bb18e5a50f,ডাঃ ফাইম চৌধুরী (সনি),bn,Fahim Chowdhury (Sony),ফাইম চৌধুরী (সনি),ড-ফইম-চধর-সন,,
bdcd8f2c-41d1-451a-84bc-c4c2f07fb746,ডা: ফাতেমা দোজা,bn,Fatema Doza,ফাতেমা দোজা,ড-ফতম-দজ,,
27060187-d1d6-45a7-8260-ea733001c0a5,ডা. ফারজানা আফরোজ (রিমু),bn,Farzana Afroz (Rimu),ফারজানা আফরোজ (রিমু),ড-ফরজন-আফরজ-রম,,
bb57b15b-6ba7-489d-86b1-47c21b702b14,ডাঃ ফারজানা আফরোজ (রিমু),bn,Farzana Afroz (Rimu),ফারজানা আফরোজ (রিমু),ড-ফরজন-আফরজ-রম-144ea7,,
78efe8df-e9e3-424b-b1de-417c133863e9,ডা. ফারজানা আলম (টুন),bn,Farzana Alam (Tun),ফারজানা আলম (টুন),ড-ফরজন-আলম-টন,,
89fd1d83-c54d-4d31-be60-f738e497d366,ডা. ফারজানা খান,bn,Farzana Khan,ফারজানা খান,ড-ফরজন-খন,,
ac7aecd0-5626-446d-b260-21fb48a47071,ডা: ফারজানা খান সোমা,bn,Farzana Khan Soma,ফারজানা খান সোমা,ড-ফরজন-খন-সম,,
6ba825a5-8baa-417b-9f7f-3890eea34dcc,ডা: ফারজানা দীবা,bn,Farzana Diba,ফারজানা দীবা,ড-ফরজন-দব,,
45e042f9-c0df-43d5-b4ae-7ce90f1e6774,ডা: ফারজানা রহমান (রিনকি),bn,Farzana Rahman (Rinki),ফারজানা রহমান (রিনকি),ড-ফরজন-রহমন-রনক,,
5fbccff9-d3af-40f5-ba02-3d20e3714cc6,ডাঃ ফারহান আহমেদ ইমন,bn,Farhan Ahmed Emon,ফারহান আহমেদ ইমন,ড-ফরহন-আহমদ-ইমন,,
9e7990a4-f876-4bbe-9415-d9f6ee6ee438,ডাঃ ফারহানা আহমেদ,bn,Farhana Ahmed,ফারহানা আহমেদ,ড-ফরহন-আহমদ,,
643b07c0-b952-4b60-b8cc-6cda47b3469b,ডা. ফারহানা আহমেদ ন্যান্সি,bn,Farhana Ahmed Nancy,ফারহানা আহমেদ ন্যান্সি,ড-ফরহন-আহমদ-নযনস,,
c0d171bc-87fe-468c-b44e-a0e35fb33deb,ডা: ফারহানা তাসনীম,bn,Farhana Tasnim,ফারহানা তাসনীম,ড-ফরহন-তসনম,,
